root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,cnc-in.insight.test_attributes.test_result,cnc-in.insight.test_attributes.uut_start,cnc-in.insight.test_attributes.uut_stop,cnc-in.insight.test_station_attributes.software_name,cnc-in.insight.test_station_attributes.software_version,cnc-in.insight.test_station_attributes.station_id,cnc-in.insight.uut_attributes.forging_manufacturing_date,cnc-in.insight.uut_attributes.tooling_code,cnc-in.properties.Build,cnc-in.properties.Forging_vendor,cnc-in.properties.Material,cnc-in.properties.Project_Code,cnc-in.properties.Raw_material_vendor
wip_id,F9F237601411Y82A6,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-09,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237604DW1Y82AF,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237601VL1Y82AE,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
extrusion_id,EWB23271EWFAC125K,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237604F71Y82AY,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237602CG1Y82A0,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-09,12,Ramp,Everwin,TI,N199,Baoti
extrusion_id,EWB23326ML1AB125A,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-08,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237601VB1Y82AP,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
extrusion_id,EWB23274RUZAB125N,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237602C91Y82A7,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F237601L91Y82AJ,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-02,12,Ramp,Everwin,TI,N199,Baoti
wip_id,F9F2376034S1Y82AD,2022-09-06 10:05:06,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 10:05:06,2022-09-06 10:05:06,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_cnc-in,2022-08-06,12,Ramp,Everwin,TI,N199,Baoti
