root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,cnc3-qc.Bridge over machining@Split inner side wall,cnc3-qc.Cutter mark@3D profile,cnc3-qc.Cutter mark@Inner surface,cnc3-qc.Cutter mark@MIC hole,cnc3-qc.Dent@3D profile,cnc3-qc.Dent@BC RT surface,cnc3-qc.Dent@Epoxy,cnc3-qc.No thread@M0.8 Screw hole,cnc3-qc.No thread@M1.0 Screw hole,cnc3-qc.Over machining@Volcano chamfer,cnc3-qc.Over polish@Volcano chamfer,cnc3-qc.Scratch@Split outer,cnc3-qc.Shift@MIC Hole,cnc3-qc.Sub-flush@Split outer,cnc3-qc.insight.test_attributes.test_result,cnc3-qc.insight.test_attributes.uut_start,cnc3-qc.insight.test_attributes.uut_stop,cnc3-qc.insight.test_station_attributes.software_name,cnc3-qc.insight.test_station_attributes.software_version,cnc3-qc.insight.test_station_attributes.station_id,cnc3-qc.insight.uut_attributes.build,cnc3-qc.insight.uut_attributes.op_name,cnc3-qc.insight.uut_attributes.shift,cnc3-qc.insight.uut_attributes.station_name,cnc3-qc.insight.uut_attributes.station_unique,cnc3-qc.insight.uut_attributes.station_vendor
wip_id,F9F23620CBW1Y82AL,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F236304VF1Y82AN,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620CF51Y82AZ,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620C8M1Y82A4,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620CAC1Y82A7,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620CDL1Y82AQ,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620CDH1Y82AT,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620CDD1Y82AX,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F236203R01Y82AH,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
wip_id,F9F23620C7Q1Y82A4,2022-09-06 08:30:00,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,pass,2022-09-06 08:30:00,2022-09-06 08:30:00,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_CNC3,Ramp,operator,D,,1,LF
