root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,epic.insight.test_attributes.test_result,epic.insight.test_attributes.uut_start,epic.insight.test_attributes.uut_stop,epic.insight.test_station_attributes.software_name,epic.insight.test_station_attributes.software_version,epic.insight.test_station_attributes.station_id,epic.insight.uut_attributes.ano_tank_id,epic.insight.uut_attributes.cp_tank_id,epic.insight.uut_attributes.dye_tank_id,epic.insight.uut_attributes.fly_bar_id,epic.insight.uut_attributes.rack_id,epic.insight.uut_attributes.seal_tank_id
wip_id,F9F23750B3N1Y82AD,2022-09-06 08:01:51,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F237503T81Y82AX,2022-09-06 08:01:51,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F23740EC51Y82A1,2022-09-06 08:01:51,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F237502X71Y82AM,2022-09-06 08:01:51,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
extrusion_id,EWB233400M0AA125C,2022-09-06 08:01:51,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F237501DP1Y82AS,2022-09-06 08:01:52,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F2376017N1Y82AA,2022-09-06 08:01:52,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F237500QU1Y82AP,2022-09-06 08:01:52,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F23740EXZ1Y82AJ,2022-09-06 08:01:52,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
wip_id,F9F237500ZX1Y82AT,2022-09-06 08:01:52,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:01:51,2022-09-06 08:01:51,MGTRACE,V1.0.10,LFDG_MEGA3-OQC1_01_epic,0,-999,-999,FB220904003,-999,-999
