root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,epoxy.items.cavity,epoxy.items.ct,epoxy.items.degas_machine_id,epoxy.items.epoxy_batch1,epoxy.items.epoxy_batch2,epoxy.items.epoxy_batch3,epoxy.items.epoxy_batch4,epoxy.items.epoxy_pressure1,epoxy.items.epoxy_pressure2,epoxy.items.station_id
wip_id,F9F23730DES1Y82AA,2022-09-06 08:37:50,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.25,2,393827,,,,22.14,22.40,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23730DDH1Y82AN,2022-09-06 08:38:00,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.47,2,393827,,,,14.54,0.00,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23730D681Y82AJ,2022-09-06 08:38:01,passed,,Ramp,Everwin,TI,N199,Baoti,A2,33.22,3,389725,,,,17.10,17.00,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F23730D3Y1Y82A3,2022-09-06 08:38:07,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.73,8,383193,,,,20.50,20.62,LFDG_MEG3_OQC1_07_EPOXY
wip_id,F9F23730D0Q1Y82AL,2022-09-06 08:38:08,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.20,3,389725,,,,25.96,26.37,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F23730D2Y1Y82A6,2022-09-06 08:38:14,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.97,3,389725,,,,17.77,17.68,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F23730CS21Y82AZ,2022-09-06 08:38:16,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.18,8,383193,,,,12.55,12.20,LFDG_MEG3_OQC1_07_EPOXY
wip_id,F9F23730D0H1Y82AT,2022-09-06 08:38:17,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.77,3,389725,,,,22.37,22.41,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F23730D8G1Y82A4,2022-09-06 08:38:19,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.28,2,393827,,,,24.59,24.66,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F23730CXS1Y82AU,2022-09-06 08:38:22,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.73,5,383193,,,,26.92,26.97,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F23730EM81Y82A6,2022-09-06 08:38:29,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.78,2,393827,,,,29.27,28.85,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F23730D0X1Y82AD,2022-09-06 08:38:31,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.44,2,393827,,,,20.90,21.12,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23730CV21Y82AQ,2022-09-06 08:38:33,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.54,5,383193,,,,19.10,19.15,LFDG_MEG3_OQC1_05_EPOXY
extrusion_id,EWB23332KVGAD125D,2022-09-06 08:38:43,passed,,Ramp,Everwin,TI,N199,Baoti,A2,33.00,3,389725,,,,16.70,16.59,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F23730CZ01Y82AE,2022-09-06 08:38:46,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.23,2,393827,,,,19.54,20.11,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23730D251Y82AZ,2022-09-06 08:38:48,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.74,8,383193,,,,17.99,18.14,LFDG_MEG3_OQC1_07_EPOXY
