root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,oleo.insight.test_attributes.test_result,oleo.insight.test_attributes.uut_start,oleo.insight.test_attributes.uut_stop,oleo.insight.test_station_attributes.software_name,oleo.insight.test_station_attributes.software_version,oleo.insight.test_station_attributes.station_id,oleo.insight.uut_attributes.lb_batch_id,oleo.insight.uut_attributes.oleo_machine
wip_id,F9F23550CR41Y82A4,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F235403B91Y82AH,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F235704MU1Y82AY,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F234401R01Y82AP,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F2357010N1Y82A2,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F235705BE1Y82A7,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F2353099W1Y82AX,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F2335063M1Y82AX,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F23550FTU1Y82A5,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
wip_id,F9F2346095M1Y82AJ,2022-09-06 09:44:40,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 09:44:40,2022-09-06 09:44:40,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_OLEO,0,Oleo
