root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,2d-bc-le.items.station_id
wip_id,F9F237304Q91Y82A6,2022-09-06 08:35:43,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QA1Y82A5,2022-09-06 08:35:59,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QB1Y82A4,2022-09-06 08:36:16,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QC1Y82A3,2022-09-06 08:36:30,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QD1Y82A2,2022-09-06 08:36:43,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QE1Y82A1,2022-09-06 08:36:58,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
wip_id,F9F237304QF1Y82A0,2022-09-06 08:36:59,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QG1Y82AZ,2022-09-06 08:37:13,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
wip_id,F9F237304QH1Y82AY,2022-09-06 08:37:16,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QJ1Y82AX,2022-09-06 08:37:27,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
wip_id,F9F237304QK1Y82AW,2022-09-06 08:37:32,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QL1Y82AV,2022-09-06 08:37:46,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QM1Y82AU,2022-09-06 08:37:59,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QN1Y82AT,2022-09-06 08:38:00,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-004
wip_id,F9F237304QP1Y82AS,2022-09-06 08:38:01,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
wip_id,F9F237304QQ1Y82AR,2022-09-06 08:38:15,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
wip_id,F9F237304QR1Y82AQ,2022-09-06 08:38:16,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QS1Y82AP,2022-09-06 08:38:18,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-004
wip_id,F9F237304QT1Y82AN,2022-09-06 08:38:28,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
wip_id,F9F237304QU1Y82AM,2022-09-06 08:38:32,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304QV1Y82AL,2022-09-06 08:38:35,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-004
wip_id,F9F237304QW1Y82AK,2022-09-06 08:38:46,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-002
