root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,ano.insight.test_attributes.test_result,ano.insight.test_attributes.uut_start,ano.insight.test_attributes.uut_stop,ano.insight.test_station_attributes.software_name,ano.insight.test_station_attributes.software_version,ano.insight.test_station_attributes.station_id,ano.insight.uut_attributes.ano_tank_id,ano.insight.uut_attributes.cp_tank_id,ano.insight.uut_attributes.dye_tank_id,ano.insight.uut_attributes.fly_bar_id,ano.insight.uut_attributes.fly_bar_locX,ano.insight.uut_attributes.fly_bar_locY,ano.insight.uut_attributes.fly_bar_locZ,ano.insight.uut_attributes.rack_id,ano.insight.uut_attributes.seal_tank_id
wip_id,F9F23550E631Y82AS,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235606K01Y82AX,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235702ZL1Y82A6,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2362013S1Y82AR,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235705011Y82AK,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23220DB01Y82AT,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23360AKK1Y82AE,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235600WK1Y82AK,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235304MM1Y82A9,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23620AME1Y82A8,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236208C01Y82AH,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23620EK61Y82AJ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23620E601Y82AV,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23560BUE1Y82AK,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236300T41Y82A9,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236101MN1Y82AA,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F234602WS1Y82AD,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
