root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.DOE,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,color.Color_A_Star_Volcano,color.Color_B_Star_Volcano,color.Color_L_Star_Volcano,color.insight.test_attributes.test_result,color.insight.test_attributes.unit_serial_number,color.insight.test_attributes.uut_start,color.insight.test_attributes.uut_stop,color.insight.test_station_attributes.fixture_id,color.insight.test_station_attributes.head_id,color.insight.test_station_attributes.line_id,color.insight.test_station_attributes.machine_id,color.insight.test_station_attributes.software_name,color.insight.test_station_attributes.software_version,color.insight.test_station_attributes.station_id,color.insight.uut_attributes.Dot_SN,color.insight.uut_attributes.Trace_SN,color.insight.uut_attributes.bin,color.properties.Bin
wip_id,F9F23540AAB1Y82AB,2022-09-06 10:51:55,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.584,6.408,65.968,pass,F9F23540AAB1Y82AB,2022-09-06 10:51:22,2022-09-06 10:51:55,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23540AAB1Y82AB,BinA,BinA
wip_id,F9F230608341Y82AL,2022-09-06 10:51:55,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.578,6.293,67.213,pass,F9F230608341Y82AL,2022-09-06 10:51:22,2022-09-06 10:51:55,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F230608341Y82AL,BinA,BinA
wip_id,F9F234608JA1Y82AR,2022-09-06 08:00:14,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.936,6.322,67.744,pass,F9F234608JA1Y82AR,2022-09-06 07:59:04,2022-09-06 08:00:14,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234608JA1Y82AR,BinA,BinA
wip_id,F9F235300YK1Y82AG,2022-09-06 08:00:14,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.932,6.27,66.962,pass,F9F235300YK1Y82AG,2022-09-06 07:59:04,2022-09-06 08:00:14,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235300YK1Y82AG,BinA,BinA
wip_id,F9F231509NZ1Y82AZ,2022-09-06 08:00:14,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.968,6.452,66.437,pass,F9F231509NZ1Y82AZ,2022-09-06 07:59:04,2022-09-06 08:00:14,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F231509NZ1Y82AZ,BinA,BinA
wip_id,F9F233408GR1Y82AM,2022-09-07 07:14:40,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.556,6.286,67.636,pass,F9F233408GR1Y82AM,2022-09-07 07:14:02,2022-09-07 07:14:40,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F233408GR1Y82AM,BinA,BinA
wip_id,F9F235204NH1Y82AB,2022-09-06 08:00:14,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.936,6.316,66.343,pass,F9F235204NH1Y82AB,2022-09-06 07:59:04,2022-09-06 08:00:14,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235204NH1Y82AB,BinA,BinA
wip_id,F9F23430A8F1Y82AH,2022-09-06 10:26:56,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.588,6.69,67.375,pass,F9F23430A8F1Y82AH,2022-09-06 10:26:21,2022-09-06 10:26:56,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23430A8F1Y82AH,BinA,BinA
wip_id,F9F23350KAB1Y82A7,2022-09-06 08:00:31,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.535,6.611,67.555,pass,F9F23350KAB1Y82A7,2022-09-06 07:59:54,2022-09-06 08:00:31,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23350KAB1Y82A7,BinA,BinA
wip_id,F9F235600B11Y82AS,2022-09-06 08:00:31,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.579,6.588,68.1,pass,F9F235600B11Y82AS,2022-09-06 07:59:54,2022-09-06 08:00:31,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235600B11Y82AS,BinA,BinA
