root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.DOE,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,im.Pressure_025s,im.Pressure_08s,im.Pressure_18s,im.Temperature1_7s,im.Temperature2_7s,im.insight.test_attributes.test_result,im.insight.test_attributes.uut_start,im.insight.test_attributes.uut_stop,im.insight.test_station_attributes.fixture_id,im.insight.test_station_attributes.head_id,im.insight.test_station_attributes.line_id,im.insight.test_station_attributes.machine_id,im.insight.test_station_attributes.software_name,im.insight.test_station_attributes.software_version,im.insight.test_station_attributes.station_id,im.insight.uut_attributes.bin,im.insight.uut_attributes.cavity,im.insight.uut_attributes.resin_batch
extrusion_id,EWB23340QWQAC1253,2022-09-06 08:00:15,passed,,Ramp,,Everwin,TI,N199,Baoti,1134.41,1030.14,1101.07,185.19,186.64,pass,2022-09-06 07:59:38,2022-09-06 08:00:08,,,,,,V20220819,LFDG_MEGA3-OQC1_02_IM,,1,8000957790
wip_id,F9F237508KB1Y82AD,2022-09-06 08:00:15,passed,,Ramp,,Everwin,TI,N199,Baoti,1407.58,1158.74,1083.1,171.81,189.37,pass,2022-09-06 07:59:38,2022-09-06 08:00:08,,,,,,V20220819,LFDG_MEGA3-OQC1_02_IM,,2,8000957790
wip_id,F9F237503FG1Y82AR,2022-09-06 08:00:20,passed,,Ramp,,Everwin,TI,N199,Baoti,1254.74,1090.22,1083.88,189.25,187.9,pass,2022-09-06 07:54:20,2022-09-06 07:54:50,,,,,,V20220819,LFDG_MEGA3-OQC1_06_IM,,1,8000957790
wip_id,F9F23750A421Y82AX,2022-09-06 08:00:21,passed,,Ramp,,Everwin,TI,N199,Baoti,1256.95,1064.65,981.9,193.54,183.44,pass,2022-09-06 07:54:20,2022-09-06 07:54:50,,,,,,V20220819,LFDG_MEGA3-OQC1_06_IM,,2,8000957790
wip_id,F9F23740BK51Y82AH,2022-09-06 08:00:50,passed,,Ramp,,Everwin,TI,N199,Baoti,1207.36,1109.37,1115.54,193.77,186.94,pass,2022-09-06 08:00:12,2022-09-06 08:00:42,,,,,,V20220819,LFDG_MEGA3-OQC1_02_IM,,1,8000957790
wip_id,F9F2375006F1Y82AN,2022-09-06 08:00:50,passed,,Ramp,,Everwin,TI,N199,Baoti,1441.42,1197.67,954.7,175.13,189.59,pass,2022-09-06 08:00:12,2022-09-06 08:00:42,,,,,,V20220819,LFDG_MEGA3-OQC1_02_IM,,2,8000957790
wip_id,F9F237508V01Y82AU,2022-09-06 08:00:54,passed,,Ramp,,Everwin,TI,N199,Baoti,1308.53,1215.25,1197.02,188.82,186.3,pass,2022-09-06 07:54:53,2022-09-06 07:55:23,,,,,,V20220819,LFDG_MEGA3-OQC1_06_IM,,1,8000957790
wip_id,F9F237508ZR1Y82AR,2022-09-06 08:00:54,passed,,Ramp,,Everwin,TI,N199,Baoti,1226.13,1091.99,1036.69,193.34,183.21,pass,2022-09-06 07:54:53,2022-09-06 07:55:23,,,,,,V20220819,LFDG_MEGA3-OQC1_06_IM,,2,8000957790
wip_id,F9F237506901Y82AN,2022-09-06 08:01:25,passed,,Ramp,,Everwin,TI,N199,Baoti,1201.86,1099.42,1103.31,195.46,187.64,pass,2022-09-06 08:00:48,2022-09-06 08:01:18,,,,,,V20220819,LFDG_MEGA3-OQC1_02_IM,,1,8000957790
wip_id,F9F237502XS1Y82A2,2022-09-06 08:01:25,passed,,Ramp,,Everwin,TI,N199,Baoti,1437.8,1277.89,1114.83,180.07,190.5,pass,2022-09-06 08:00:48,2022-09-06 08:01:18,,,,,,V20220819,LFDG_MEGA3-OQC1_02_IM,,2,8000957790
