root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,polish-qc.Bubble@Epoxy,polish-qc.Cutter mark@Volcano,polish-qc.Dent@3D profile,polish-qc.Dent@Epoxy,polish-qc.FAI130 OOS Large@Crown hole width,polish-qc.FAI131 OOS Large@Crown hole length,polish-qc.FAI90 OOS Large@SPK inner hole length,polish-qc.Jagged Edge@Split outer,polish-qc.Metal Poor Machining@Split outer,polish-qc.Metal exposed@Epoxy,polish-qc.Over machining@3D profile,polish-qc.Over polish@Volcano chamfer,polish-qc.Press mark@Epoxy,polish-qc.Scratch@Split outer,polish-qc.Sub-flush@Split outer,polish-qc.insight.test_attributes.test_result,polish-qc.insight.test_attributes.uut_start,polish-qc.insight.test_attributes.uut_stop,polish-qc.insight.test_station_attributes.software_name,polish-qc.insight.test_station_attributes.software_version,polish-qc.insight.test_station_attributes.station_id,polish-qc.insight.uut_attributes.build,polish-qc.insight.uut_attributes.op_name,polish-qc.insight.uut_attributes.shift,polish-qc.insight.uut_attributes.station_name,polish-qc.insight.uut_attributes.station_unique,polish-qc.insight.uut_attributes.station_vendor
wip_id,F9F23560BJF1Y82AE,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236308EB1Y82AZ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235705RR1Y82AN,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236404291Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236507F01Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236406YW1Y82AV,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236500FG1Y82AX,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23650BXZ1Y82AP,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620AK81Y82AL,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23640DBN1Y82AR,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236508L71Y82AH,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236304WF1Y82AK,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620ECC1Y82AZ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235607871Y82AN,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236406E11Y82AA,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235509TY1Y82A7,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,KRS,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620A391Y82AZ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23640AZG1Y82A2,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620BFE1Y82AR,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235704VW1Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23650AFE1Y82AP,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2355050Y1Y82AQ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236303GZ1Y82AA,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235303JV1Y82AB,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236304MK1Y82A8,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236600KS1Y82A8,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620DSC1Y82AS,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620AM51Y82AH,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236309LX1Y82AU,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236308MU1Y82AV,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236508KQ1Y82A3,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23640A9K1Y82A3,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23630C691Y82AM,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236604GS1Y82AD,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,KRS,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236602JR1Y82AA,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23540AUL1Y82AG,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2364010M1Y82A3,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23640CBW1Y82AJ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236102R01Y82AK,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236400L61Y82AT,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236501ZA1Y82AG,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236301U31Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236508M71Y82AE,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236602UL1Y82AK,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236401GB1Y82AZ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23570CRX1Y82A9,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236604AA1Y82AD,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,KRS,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2361022U1Y82AS,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
